Circoscrizione,Coalizione,Partito,Voti
SICILIA 1,UNIONE POPOLARE CON DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,7804
SICILIA 1,ITALIA SOVRANA E POPOLARE,ITALIA SOVRANA E POPOLARE,10121
SICILIA 1,SUD CHIAMA NORD,SUD CHIAMA NORD,73007
SICILIA 2,CDX,FRATELLI D'ITALIA CON GIORGIA MELONI,219024
SICILIA 2,CDX,LEGA PER SALVINI PREMIER,58712
SICILIA 2,CDX,FORZA ITALIA,118669
SICILIA 2,CDX,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,7585
SICILIA 2,CSX,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,123899
SICILIA 2,CSX,ALLEANZA VERDI E SINISTRA,21787
SICILIA 2,CSX,+EUROPA,17418
SICILIA 2,CSX,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,8264
SICILIA 2,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,282757
SICILIA 2,AZIONE - ITALIA VIVA - CALENDA,AZIONE - ITALIA VIVA - CALENDA,49915
SICILIA 2,ITALEXIT PER L'ITALIA,ITALEXIT PER L'ITALIA,20558
SICILIA 2,UNIONE POPOLARE CON DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,10356
SICILIA 2,ITALIA SOVRANA E POPOLARE,ITALIA SOVRANA E POPOLARE,11108
SICILIA 2,SUD CHIAMA NORD,SUD CHIAMA NORD,130859
SICILIA 2,VITA,VITA,3860
SARDEGNA,CDX,FRATELLI D'ITALIA CON GIORGIA MELONI,158268
SARDEGNA,CDX,LEGA PER SALVINI PREMIER,42153
SARDEGNA,CDX,FORZA ITALIA,57388
SARDEGNA,CDX,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,13710
SARDEGNA,CSX,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,120851
SARDEGNA,CSX,ALLEANZA VERDI E SINISTRA,32517
SARDEGNA,CSX,+EUROPA,14483
SARDEGNA,CSX,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,5784
SARDEGNA,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,142905
SARDEGNA,AZIONE - ITALIA VIVA - CALENDA,AZIONE - ITALIA VIVA - CALENDA,29871
SARDEGNA,ITALEXIT PER L'ITALIA,ITALEXIT PER L'ITALIA,16153
SARDEGNA,UNIONE POPOLARE CON DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,10003
SARDEGNA,ITALIA SOVRANA E POPOLARE,ITALIA SOVRANA E POPOLARE,10235
SARDEGNA,VITA,VITA,3681
TRENTINO-ALTO ADIGE/SUDTIROL,CDX,FRATELLI D'ITALIA CON GIORGIA MELONI,90697
TRENTINO-ALTO ADIGE/SUDTIROL,CDX,LEGA PER SALVINI PREMIER,41235
TRENTINO-ALTO ADIGE/SUDTIROL,CDX,FORZA ITALIA,16207
TRENTINO-ALTO ADIGE/SUDTIROL,CDX,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2625
TRENTINO-ALTO ADIGE/SUDTIROL,CSX,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,79762
TRENTINO-ALTO ADIGE/SUDTIROL,CSX,ALLEANZA VERDI E SINISTRA,26184
TRENTINO-ALTO ADIGE/SUDTIROL,CSX,+EUROPA,13618
TRENTINO-ALTO ADIGE/SUDTIROL,CSX,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,1727
TRENTINO-ALTO ADIGE/SUDTIROL,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,23909
TRENTINO-ALTO ADIGE/SUDTIROL,AZIONE - ITALIA VIVA - CALENDA,AZIONE - ITALIA VIVA - CALENDA,28589
TRENTINO-ALTO ADIGE/SUDTIROL,ITALEXIT PER L'ITALIA,ITALEXIT PER L'ITALIA,8335
TRENTINO-ALTO ADIGE/SUDTIROL,UNIONE POPOLARE CON DE MAGISTRIS,UNIONE POPOLARE CON DE MAGISTRIS,3958
TRENTINO-ALTO ADIGE/SUDTIROL,ITALIA SOVRANA E POPOLARE,ITALIA SOVRANA E POPOLARE,6064
TRENTINO-ALTO ADIGE/SUDTIROL,VITA,VITA,20634
TRENTINO-ALTO ADIGE/SUDTIROL,SUDTIROLER VOLKSPARTEI (SVP) - PATT,SUDTIROLER VOLKSPARTEI (SVP) - PATT,106092
